month,carrier_name,airport_name,predicted_arrival_delay
9,Hawaiian Airlines Network,"Kansas City, MO: Kansas City International",46.45570985573682
9,Hawaiian Airlines Network,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,Hawaiian Airlines Network,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,Hawaiian Airlines Network,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,Hawaiian Airlines Network,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,Hawaiian Airlines Network,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,Hawaiian Airlines Network,"Denver, CO: Denver International",46.45570985573682
9,Hawaiian Airlines Network,"San Diego, CA: San Diego International",46.45570985573682
9,Hawaiian Airlines Network,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,Hawaiian Airlines Network,"Boston, MA: Logan International",46.45570985573682
9,Hawaiian Airlines Network,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,Hawaiian Airlines Network,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,Hawaiian Airlines Network,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,Hawaiian Airlines Network,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,Hawaiian Airlines Network,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,Envoy Air,Other,46.45570985573682
9,Envoy Air,"Nashville, TN: Nashville International",46.45570985573682
9,Envoy Air,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,Envoy Air,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,Envoy Air,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,Envoy Air,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,Envoy Air,"Kansas City, MO: Kansas City International",46.45570985573682
9,Envoy Air,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,Envoy Air,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,Envoy Air,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,Envoy Air,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,Envoy Air,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,Envoy Air,"Denver, CO: Denver International",46.45570985573682
9,Envoy Air,"San Diego, CA: San Diego International",46.45570985573682
9,Envoy Air,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,Envoy Air,"Boston, MA: Logan International",46.45570985573682
9,Envoy Air,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,Envoy Air,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,Envoy Air,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,Envoy Air,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,Envoy Air,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,Spirit Airlines,Other,46.45570985573682
9,Spirit Airlines,"Nashville, TN: Nashville International",46.45570985573682
9,Spirit Airlines,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,Spirit Airlines,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,Spirit Airlines,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,Spirit Airlines,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,Spirit Airlines,"Kansas City, MO: Kansas City International",46.45570985573682
9,Spirit Airlines,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,Spirit Airlines,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,Spirit Airlines,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,Spirit Airlines,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,Spirit Airlines,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,Spirit Airlines,"Denver, CO: Denver International",46.45570985573682
9,Spirit Airlines,"San Diego, CA: San Diego International",46.45570985573682
9,Spirit Airlines,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,Spirit Airlines,"Boston, MA: Logan International",46.45570985573682
9,Spirit Airlines,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,Spirit Airlines,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,Spirit Airlines,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,Spirit Airlines,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,Spirit Airlines,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,PSA Airlines Inc.,Other,46.45570985573682
9,PSA Airlines Inc.,"Nashville, TN: Nashville International",46.45570985573682
9,PSA Airlines Inc.,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,PSA Airlines Inc.,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
